trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.9588496310845509}",20,0,-60.18403290744428,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
43,False,"{'a': 0.2, 'e': 0.9578907814534664}",25,1,-114.07159436978861,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 1}",1
44,False,"{'a': 0.2, 'e': 0.9569328906720129}",20,0,-128.1166014117353,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.9559759577813409}",25,0,-65.46321092107434,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.9550199818235596}",30,0,-169.58114467563504,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
47,False,"{'a': 0.2, 'e': 0.9540649618417361}",25,0,-124.93646302773473,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
48,False,"{'a': 0.2, 'e': 0.9531108968798944}",25,0,-229.88861295962215,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
49,False,"{'a': 0.2, 'e': 0.9521577859830145}",25,0,-90.56527852334554,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.2, 'e': 0.9512056281970315}",20,0,-54.12639347528516,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.2, 'e': 0.9502544225688344}",30,0,-170.5485852130996,"{0: 14, 1: 6, 2: 7, 3: 2, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.9493041681462656}",25,0,-167.88102003375778,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
53,False,"{'a': 0.2, 'e': 0.9483548639781193}",25,6,-88.78384508876087,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.2, 'e': 0.9474065091141411}",20,0,-145.23146316108443,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
55,False,"{'a': 0.2, 'e': 0.946459102605027}",25,0,-145.41672079455418,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.2, 'e': 0.9455126435024219}",20,0,-72.8461465571203,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.2, 'e': 0.9445671308589195}",25,0,-171.3126639426046,"{0: 13, 1: 7, 2: 1, 3: 1, 4: 3}",0
58,False,"{'a': 0.2, 'e': 0.9436225637280606}",30,0,-148.84959265052993,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
59,False,"{'a': 0.2, 'e': 0.9426789411643326}",25,0,-110.33857928698518,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.2, 'e': 0.9417362622231683}",20,0,-93.9228887911626,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.2, 'e': 0.9407945259609451}",20,6,-49.42111102923907,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.2, 'e': 0.9398537314349842}",30,0,-133.41258243849458,"{0: 14, 1: 8, 2: 5, 3: 3, 4: 0}",0
63,False,"{'a': 0.2, 'e': 0.9389138777035492}",20,0,-112.60072522904981,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.2, 'e': 0.9379749638258457}",20,0,-21.789538408544338,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.9370369888620198}",30,0,-153.25561917170307,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.2, 'e': 0.9360999518731578}",20,0,-74.50063482945463,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
67,False,"{'a': 0.2, 'e': 0.9351638519212846}",20,0,-167.9623336980066,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
68,False,"{'a': 0.2, 'e': 0.9342286880693633}",20,0,-154.39877188445365,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
69,False,"{'a': 0.2, 'e': 0.933294459381294}",20,5,-125.12320712687777,"{0: 7, 1: 3, 2: 2, 3: 1, 4: 2}",1
70,False,"{'a': 0.2, 'e': 0.9323611649219127}",25,0,-52.09585526338428,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",1
